basin_en,basin_cn,null_method,replicate,null_max_correlation
Changjiang,昌江,annual_circular_shift,1,0.02037506131
Changjiang,昌江,annual_circular_shift,2,0.02728117408
Changjiang,昌江,annual_circular_shift,3,0.01401713362
Changjiang,昌江,annual_circular_shift,4,-0.006824830428
Changjiang,昌江,annual_circular_shift,5,0.007677399685
Changjiang,昌江,annual_circular_shift,6,0.003378344704
Changjiang,昌江,annual_circular_shift,7,-0.002644727336
Changjiang,昌江,annual_circular_shift,8,0.01778545679
Changjiang,昌江,annual_circular_shift,9,0.02897136806
Changjiang,昌江,annual_circular_shift,10,0.02101086733
Changjiang,昌江,annual_circular_shift,11,0.01278942154
Changjiang,昌江,annual_circular_shift,12,-0.0100281811
Changjiang,昌江,annual_circular_shift,13,0.04311739291
Changjiang,昌江,annual_circular_shift,14,0.02633515261
Changjiang,昌江,annual_circular_shift,15,0.04812725874
Changjiang,昌江,annual_circular_shift,16,0.03880894186
Changjiang,昌江,annual_circular_shift,17,0.07370077271
Changjiang,昌江,annual_circular_shift,18,0.05707597755
Changjiang,昌江,annual_circular_shift,19,0.009314098659
Changjiang,昌江,annual_circular_shift,20,0.01704306881
Changjiang,昌江,annual_circular_shift,21,0.03724295989
Changjiang,昌江,annual_circular_shift,22,0.0153562794
Changjiang,昌江,annual_circular_shift,23,0.03578550143
Changjiang,昌江,annual_circular_shift,24,0.03291077594
Changjiang,昌江,annual_circular_shift,25,0.01739268984
Changjiang,昌江,annual_circular_shift,26,0.06550882433
Changjiang,昌江,annual_circular_shift,27,0.02093512364
Changjiang,昌江,annual_circular_shift,28,0.01123409041
Changjiang,昌江,annual_circular_shift,29,0.03989128805
Changjiang,昌江,annual_circular_shift,30,0.01772268829
Changjiang,昌江,annual_circular_shift,31,0.02804740095
Changjiang,昌江,annual_circular_shift,32,0.02956730745
Changjiang,昌江,annual_circular_shift,33,0.02627382429
Changjiang,昌江,annual_circular_shift,34,0.06015596687
Changjiang,昌江,annual_circular_shift,35,0.04079637225
Changjiang,昌江,annual_circular_shift,36,0.03466105429
